id,name,ingredients,description,photo_url,cooking_time,ingredient_types,cooking_steps
14,"Dal Makhani","black lentils, kidney beans, butter, cream, tomatoes, ginger, garlic, spices","A rich and creamy lentil dish from North India, slow-cooked for hours.","https://imgs.search.brave.com/876543210987654321098765432109876543210/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/c2hldmFsaXNraXRj/aGVuLmNvbS93cC1j/b250ZW50L3VwbG9h/ZHMvMjAyMC8xMi9E/YWwtTWFraGFuaS1S/ZWNpcGUuanBn","2 hours","soaked, cooked, simmered","1. Soak Lentils and Beans: Soak 1 cup of black lentils and 1/4 cup of kidney beans overnight.|2. Cook Lentils and Beans: Cook the soaked lentils and beans with 4 cups of water, 1 teaspoon of turmeric, and salt until tender. Mash slightly.|3. Prepare Masala: Heat 2 tablespoons of butter. Add cumin seeds, ginger-garlic paste, and chopped tomatoes. Sauté until oil separates.|4. Add Spices: Add chili powder, coriander powder, and garam masala. Sauté for a minute.|5. Combine Lentils and Masala: Add the cooked lentils and beans to the masala. Add 1 cup of water and simmer for 30 minutes.|6. Add Butter and Cream: Add 2 tablespoons of butter and 1/2 cup of cream. Simmer for another 15 minutes.|7. Garnish and Serve: Garnish with fresh cream and coriander leaves. Serve hot with rice or naan."
15,"Paneer Butter Masala","paneer, tomatoes, onions, cashews, cream, butter, spices","A rich and creamy paneer dish with a tomato-cashew gravy.","https://imgs.search.brave.com/543210987654321098765432109876543210987/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9QYW5lZXIt/QnV0dGVyLU1hc2Fs/YS1RdWVlbi1TaXpl/LmpwZw","45 minutes","fried, ground, simmered","1. Prepare Paneer: Cut 250g of paneer into cubes. Lightly fry them in butter and set aside.|2. Prepare Gravy: Grind 1 cup of chopped onions, 1 cup of chopped tomatoes, and 1/4 cup of cashews into a smooth paste.|3. Sauté Spices: Heat 2 tablespoons of butter. Add cumin seeds, bay leaf, and cardamom. Sauté for a minute.|4. Add Gravy Paste: Add the ground paste and sauté until oil separates.|5. Add Spices: Add chili powder, coriander powder, garam masala, and sugar. Sauté for a minute.|6. Add Cream and Paneer: Add 1/2 cup of cream and the fried paneer. Simmer for 10 minutes.|7. Garnish and Serve: Garnish with coriander leaves and serve hot with naan or rice."
17,"Rasam","tamarind, tomatoes, lentils, spices, curry leaves, mustard seeds, asafoetida","A tangy and spicy South Indian soup, often served with rice.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9SYXNhbS1R/dWVlbi1TaXplLmpwZw","25 minutes","cooked, mashed, tempered","1. Prepare Tamarind: Soak a small ball of tamarind in warm water and extract the juice.|2. Cook Lentils: Cook 1/4 cup of toor dal until soft and mash it.|3. Prepare Tomatoes: Chop 2 ripe tomatoes.|4. Heat Oil: Heat 1 tablespoon of ghee or oil. Add mustard seeds, cumin seeds, and asafoetida. Let them splutter.|5. Add Curry Leaves and Chilies: Add curry leaves and dry red chilies. Sauté for a few seconds.|6. Add Tomatoes and Turmeric: Add the chopped tomatoes and 1/2 teaspoon of turmeric powder. Sauté until the tomatoes are soft.|7. Add Tamarind and Lentils: Add the tamarind extract, mashed lentils, and salt. Bring to a boil.|8. Add Rasam Powder: Add 1 tablespoon of rasam powder. Simmer for 5 minutes.|9. Garnish and Serve: Garnish with coriander leaves and serve hot with rice."

18,"Chicken Tikka Masala","chicken, yogurt, spices, tomatoes, cream, butter","Marinated chicken grilled and simmered in a creamy tomato sauce.","https://imgs.search.brave.com/abcdef1234567890abcdef1234567890abcdef123456/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9DaGlja2Vu/LVRpa2thLU1hc2Fs/YS1RdWVlbi1TaXpl/LmpwZw","1 hour 15 minutes","marinated, grilled, simmered","1. Marinate Chicken: Marinate 1 kg of boneless chicken pieces with yogurt, ginger-garlic paste, chili powder, turmeric powder, garam masala, and lemon juice for 1 hour.|2. Grill Chicken: Grill the marinated chicken pieces until cooked.|3. Prepare Gravy: Heat 2 tablespoons of butter. Add chopped onions and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, and garam masala. Sauté until oil separates.|5. Add Cream and Butter: Add 1/2 cup of cream and 2 tablespoons of butter. Simmer for 5 minutes.|6. Add Chicken: Add the grilled chicken pieces to the gravy. Simmer for 10 minutes.|7. Garnish and Serve: Garnish with coriander leaves and serve hot with naan or rice."

19,"Upma","semolina, mustard seeds, urad dal, curry leaves, onions, green chilies, water","A savory South Indian breakfast dish made with semolina.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9VcHBhLVF1/ZWVuLVNpemUuanBn","20 minutes","roasted, sautéed, cooked","1. Roast Semolina: Dry roast 1 cup of semolina until lightly golden. Set aside.|2. Heat Oil: Heat 2 tablespoons of oil. Add mustard seeds and urad dal. Let them splutter.|3. Add Curry Leaves and Chilies: Add curry leaves and green chilies. Sauté for a few seconds.|4. Add Onions: Add chopped onions and sauté until translucent.|5. Add Water: Add 2 cups of water and salt. Bring to a boil.|6. Add Semolina: Gradually add the roasted semolina, stirring continuously to avoid lumps.|7. Cook Upma: Cook until the upma thickens and absorbs all the water.|8. Garnish and Serve: Garnish with coriander leaves and serve hot."
21,"Palak Paneer","paneer, spinach, onions, tomatoes, ginger, garlic, spices, cream","A creamy spinach and paneer dish, popular in North India.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9QYWxhay1Q/YW5lZXItUXVlZW4t/U2l6ZS5qcGc","40 minutes","cooked, blended, simmered","1. Blanch Spinach: Blanch 500g of spinach in boiling water for 2 minutes. Drain and blend into a smooth puree.|2. Prepare Paneer: Cut 250g of paneer into cubes. Lightly fry them and set aside.|3. Prepare Gravy: Heat 2 tablespoons of oil. Add cumin seeds, chopped onions, and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, and garam masala. Sauté until oil separates.|5. Add Spinach Puree: Add the spinach puree and salt. Simmer for 10 minutes.|6. Add Paneer and Cream: Add the fried paneer and 1/4 cup of cream. Simmer for 5 minutes.|7. Garnish and Serve: Garnish with cream and serve hot with naan or rice."

22,"Aloo Gobi","potatoes, cauliflower, onions, tomatoes, ginger, garlic, spices","A dry vegetable dish with potatoes and cauliflower, flavored with Indian spices.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9BbG9vLUdv/YmktUXVlZW4tU2l6/ZS5qcGc","35 minutes","chopped, cooked, sautéed","1. Prepare Vegetables: Chop 2 medium potatoes and 1 medium cauliflower into florets.|2. Heat Oil: Heat 2 tablespoons of oil. Add cumin seeds and let them splutter.|3. Add Onions and Ginger-Garlic: Add chopped onions and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, turmeric powder, chili powder, coriander powder, and garam masala. Sauté until oil separates.|5. Add Potatoes and Cauliflower: Add the chopped potatoes and cauliflower florets. Mix well.|6. Cook Vegetables: Add salt and a little water. Cover and cook until the vegetables are tender.|7. Garnish and Serve: Garnish with coriander leaves and serve hot with roti or rice."

23,"Masala Dosa","rice, urad dal, fenugreek seeds, potatoes, onions, mustard seeds, curry leaves","A crispy South Indian crepe filled with a spiced potato mixture.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9NYXNhbGEt/RG9zYS1RdWVlbi1T/aXplLmpwZw","1 hour 30 minutes (excluding soaking and fermentation)","soaked, fermented, cooked, spread","1. Prepare Batter: Soak 2 cups of rice and 1 cup of urad dal with 1 teaspoon of fenugreek seeds for 4 hours. Grind into a smooth batter and ferment overnight.|2. Prepare Potato Filling: Boil 4 potatoes, peel, and mash them. Heat 2 tablespoons of oil. Add mustard seeds, urad dal, and curry leaves. Add chopped onions and sauté. Add turmeric powder and mashed potatoes. Mix well.|3. Cook Dosa: Heat a griddle. Pour a ladleful of batter and spread into a thin circle. Drizzle oil and cook until crispy.|4. Fill Dosa: Place a portion of the potato filling in the center of the dosa. Fold and serve hot with sambar and chutney."
25,"Chole Bhature","chickpeas, flour, yogurt, spices, oil","A spicy chickpea curry served with deep-fried bread, a popular North Indian dish.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9DaG9sZS1C/aGF0dXJlLVF1ZWVu/LVNpemUuanBn","1 hour 30 minutes (excluding soaking)","soaked, cooked, deep-fried","1. Soak Chickpeas: Soak 1 cup of chickpeas overnight.|2. Cook Chickpeas: Cook the soaked chickpeas with 1 teaspoon of baking soda, bay leaf, and cardamom until tender.|3. Prepare Chole Masala: Heat 2 tablespoons of oil. Add cumin seeds, chopped onions, and sauté. Add ginger-garlic paste and sauté. Add chopped tomatoes, chili powder, coriander powder, garam masala, and amchur powder. Sauté until oil separates.|4. Combine Chickpeas and Masala: Add the cooked chickpeas to the masala. Simmer for 15 minutes.|5. Prepare Bhature Dough: Mix 2 cups of all-purpose flour with 1/4 cup of semolina, 1/4 cup of yogurt, and salt. Knead into a soft dough and let it rest for 30 minutes.|6. Fry Bhature: Divide the dough into small balls. Roll them into circles and deep-fry until golden brown.|7. Serve Hot: Serve the chole hot with the bhature."

26,"Vada Pav","potatoes, gram flour, spices, bread rolls, chutneys","A popular Mumbai street food consisting of a spiced potato fritter in a bread roll.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9WYWRhLVBh/di1RdWVlbi1TaXpl/LmpwZw","30 minutes","boiled, mashed, deep-fried","1. Prepare Potato Filling: Boil 4 potatoes, peel, and mash them. Heat 2 tablespoons of oil. Add mustard seeds, curry leaves, and green chilies. Add turmeric powder and mashed potatoes. Mix well.|2. Prepare Gram Flour Batter: Mix 1 cup of gram flour with 1/4 teaspoon of baking soda, chili powder, and salt. Add water to make a smooth batter.|3. Make Potato Balls: Make small balls from the potato filling.|4. Fry Vada: Dip the potato balls in the gram flour batter and deep-fry until golden brown.|5. Prepare Pav: Slice bread rolls (pav) in half.|6. Assemble Vada Pav: Spread green chutney and tamarind chutney on the pav. Place the fried vada in the pav.|7. Serve Hot: Serve the vada pav hot with dry garlic chutney."

27,"Dhokla","gram flour, yogurt, ginger, green chilies, baking soda, mustard seeds, curry leaves","A steamed savory cake from Gujarat, made with gram flour.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9EaG9rbGEt/UXVlZW4tU2l6ZS5qcGc","30 minutes","mixed, steamed, tempered","1. Prepare Batter: Mix 1 cup of gram flour with 1/2 cup of yogurt, 1 teaspoon of ginger-green chili paste, 1/4 teaspoon of turmeric powder, and salt. Add water to make a smooth batter.|2. Add Baking Soda: Add 1 teaspoon of baking soda and mix well.|3. Steam Dhokla: Pour the batter into a greased steaming plate. Steam for 15-20 minutes.|4. Prepare Tempering: Heat 2 tablespoons of oil. Add mustard seeds, curry leaves, and green chilies. Let them splutter.|5. Pour Tempering: Pour the tempering over the steamed dhokla.|6. Cut and Serve: Cut the dhokla into squares and serve hot with chutney."
29,"Butter Chicken","chicken, tomatoes, butter, cream, spices, ginger, garlic","Tender chicken cooked in a rich, buttery tomato sauce.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9CdXR0ZXIt/Q2hpY2tlbi1RdWVl/bi1TaXplLmpwZw","1 hour","marinated, grilled, simmered","1. Marinate Chicken: Marinate 1 kg of boneless chicken pieces with yogurt, ginger-garlic paste, chili powder, turmeric powder, and garam masala for 1 hour.|2. Grill Chicken: Grill the marinated chicken pieces until cooked.|3. Prepare Gravy: Heat 2 tablespoons of butter. Add chopped onions and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, garam masala, and kasuri methi. Sauté until oil separates.|5. Add Cream and Butter: Add 1/2 cup of cream and 2 tablespoons of butter. Simmer for 5 minutes.|6. Add Chicken: Add the grilled chicken pieces to the gravy. Simmer for 10 minutes.|7. Garnish and Serve: Garnish with cream and coriander leaves. Serve hot with naan or rice."

30,"Rajma Chawal","kidney beans, onions, tomatoes, ginger, garlic, spices, rice","A North Indian dish of red kidney beans in a thick gravy, served with rice.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9SYWptYS1D/aGF3YWwtUXVlZW4t/U2l6ZS5qcGc","1 hour 30 minutes (excluding soaking)","soaked, cooked, simmered","1. Soak Kidney Beans: Soak 1 cup of kidney beans overnight.|2. Cook Kidney Beans: Cook the soaked kidney beans with water and salt until tender.|3. Prepare Gravy: Heat 2 tablespoons of oil. Add cumin seeds, chopped onions, and sauté until golden. Add ginger-garlic paste and sauté.|4. Add Tomatoes and Spices: Add chopped tomatoes, chili powder, coriander powder, garam masala, and amchur powder. Sauté until oil separates.|5. Combine Kidney Beans and Gravy: Add the cooked kidney beans to the gravy. Simmer for 20 minutes.|6. Prepare Rice: Cook rice separately.|7. Serve Hot: Serve the rajma hot with rice."

31,"Aloo Paratha","potatoes, wheat flour, spices, ghee","Flatbread stuffed with a spiced potato mixture, a popular North Indian breakfast.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9BbG9vLVBh/cmF0aGEtUXVlZW4t/U2l6ZS5qcGc","40 minutes","boiled, mashed, stuffed, cooked","1. Prepare Potato Filling: Boil 4 potatoes, peel, and mash them. Add chopped onions, green chilies, coriander leaves, chili powder, garam masala, and salt. Mix well.|2. Prepare Dough: Knead 2 cups of wheat flour with water and salt into a soft dough.|3. Stuff Paratha: Divide the dough into small balls. Roll them out and stuff with the potato filling. Seal the edges.|4. Cook Paratha: Roll out the stuffed dough into a flatbread. Cook on a hot griddle with ghee until golden brown.|5. Serve Hot: Serve the aloo paratha hot with yogurt or pickle."
33,"Chicken 65","chicken, yogurt, ginger, garlic, curry leaves, chili powder, cornflour","Spicy, deep-fried chicken appetizer from South India.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9DaGlja2Vu/LTY1LVF1ZWVuLVNp/emUuanBn","30 minutes","marinated, deep-fried, tempered","1. Marinate Chicken: Marinate 500g of boneless chicken pieces with yogurt, ginger-garlic paste, chili powder, turmeric powder, garam masala, cornflour, and lemon juice for 30 minutes.|2. Deep-fry Chicken: Deep-fry the marinated chicken pieces until golden brown and cooked.|3. Prepare Tempering: Heat 2 tablespoons of oil. Add curry leaves, green chilies, and ginger-garlic paste. Sauté for a few seconds.|4. Add Chicken: Add the fried chicken pieces to the tempering. Toss well.|5. Garnish and Serve: Garnish with coriander leaves and serve hot."

34,"Vegetable Biryani","rice, mixed vegetables, yogurt, spices, mint leaves, coriander leaves","A fragrant rice dish cooked with mixed vegetables and aromatic spices.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9WZWdldGFi/bGUtQmlyeWFuaS1R/dWVlbi1TaXplLmpwZw","1 hour 15 minutes","soaked, cooked, layered","1. Soak Rice: Soak 1 kg of basmati rice for 30 minutes.|2. Cook Vegetables: Cook mixed vegetables (carrots, beans, peas, potatoes) with turmeric powder and salt.|3. Prepare Masala: Heat 2 tablespoons of ghee. Add cumin seeds, bay leaf, cardamom, and cinnamon. Add chopped onions and sauté. Add ginger-garlic paste and sauté. Add chopped tomatoes, chili powder, coriander powder, garam masala, and yogurt. Sauté until oil separates.|4. Layer Biryani: Layer half of the rice, cooked vegetables, masala, mint leaves, and coriander leaves. Top with the remaining rice.|5. Drizzle Ghee and Saffron: Drizzle ghee and saffron water over the rice.|6. Dum Cooking: Cook on low heat for 20-30 minutes.|7. Serve Hot: Serve the vegetable biryani hot with raita."

35,"Sambar","lentils, mixed vegetables, tamarind, sambar powder, mustard seeds, curry leaves","A tangy lentil and vegetable stew from South India, served with rice or idli.","https://imgs.search.brave.com/1234567890abcdef1234567890abcdef1234567890/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/aGVia2FyYWxhLmNv/bS93cC1jb250ZW50/L3VwbG9hZHMvMjAy/MS8wOC9TYW1iYXIt/UXVlZW4tU2l6ZS5q/cGc","45 minutes","cooked, simmered, tempered","1. Cook Lentils: Cook 1/2 cup of toor dal until soft.|2. Prepare Vegetables: Chop mixed vegetables (drumsticks, carrots, onions, tomatoes).|3. Prepare Tamarind: Soak a small ball of tamarind in warm water and extract the juice.|4. Heat Oil: Heat 2 tablespoons of oil. Add mustard seeds, fenugreek seeds, and curry leaves. Let them splutter.|5. Add Onions and Vegetables: Add chopped onions and vegetables. Sauté until tender.|6. Add Tamarind and Sambar Powder: Add tamarind extract, 2 tablespoons of sambar powder, and salt. Simmer for 15 minutes.|7. Add Lentils: Add the cooked lentils and mix well. Simmer for 10 minutes.|8. Garnish and Serve: Garnish with coriander leaves and serve hot with rice or idli."